,0,1,2,3,4,5,6,7,8,9,10,13,14,15,16,18,22,23,24,25,26,29,71,85,86,87,88,100,103,115,116,126,138,142,157,158,159,160,161,169,172,173,177,178,179,180,181,182,183,184,186,187,192,193,194,195,196,197,199,204,205,206,207,208,209,210,211,212,214,216,219,221,222,224,225,231,238,239,240,241,242,243,246,247,251,253,254,255,256,257,258,259,260,261,263,265,272,273,274,275,284,288,290,293,294,295,296,297,301,302,303,305,306,307,309,310,311,312,313,316,320,321,322,323,325,333,334,335,336,338,339,340,361,446,451,453,461,464,467,468,469,470,471,472,473,475,476,477,479,481,484,486,490,492,497,504,507,508,512,537,555,561,562,564,570,572,573,575,576,606,618,624,625,626,667,688,700,719,720,721,722,723,726,728,730,740,743,744,745,746,747,749,757,758,809,812,884,886,892,894,899,900,907,934,937,938,962,964,970,975,979,982,985,989,990,997,999,1003,1010,1016,1017,1023,1024,1025,1026,1038,1042,1043,1044,1045
PatientID,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7a-3,hsa-let-7b,hsa-let-7c,hsa-let-7d,hsa-let-7e,hsa-let-7f-1,hsa-let-7f-2,hsa-let-7g,hsa-let-7i,hsa-mir-100,hsa-mir-101-1,hsa-mir-101-2,hsa-mir-103-1,hsa-mir-103-2,hsa-mir-106a,hsa-mir-106b,hsa-mir-107,hsa-mir-10a,hsa-mir-10b,hsa-mir-1180,hsa-mir-1247,hsa-mir-125a,hsa-mir-125b-1,hsa-mir-125b-2,hsa-mir-126,hsa-mir-127,hsa-mir-1271,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-1287,hsa-mir-1296,hsa-mir-1301,hsa-mir-1306,hsa-mir-1307,hsa-mir-130a,hsa-mir-130b,hsa-mir-132,hsa-mir-134,hsa-mir-135b,hsa-mir-136,hsa-mir-139,hsa-mir-140,hsa-mir-141,hsa-mir-142,hsa-mir-143,hsa-mir-144,hsa-mir-145,hsa-mir-1468,hsa-mir-146a,hsa-mir-146b,hsa-mir-148a,hsa-mir-148b,hsa-mir-149,hsa-mir-150,hsa-mir-151,hsa-mir-152,hsa-mir-153-2,hsa-mir-155,hsa-mir-15a,hsa-mir-15b,hsa-mir-16-1,hsa-mir-16-2,hsa-mir-17,hsa-mir-181a-1,hsa-mir-181a-2,hsa-mir-181b-1,hsa-mir-181c,hsa-mir-182,hsa-mir-183,hsa-mir-185,hsa-mir-186,hsa-mir-188,hsa-mir-18a,hsa-mir-191,hsa-mir-192,hsa-mir-193a,hsa-mir-193b,hsa-mir-194-1,hsa-mir-194-2,hsa-mir-195,hsa-mir-196b,hsa-mir-197,hsa-mir-1976,hsa-mir-199a-1,hsa-mir-199a-2,hsa-mir-199b,hsa-mir-19a,hsa-mir-19b-1,hsa-mir-19b-2,hsa-mir-200a,hsa-mir-200b,hsa-mir-200c,hsa-mir-203,hsa-mir-205,hsa-mir-20a,hsa-mir-20b,hsa-mir-21,hsa-mir-210,hsa-mir-214,hsa-mir-217,hsa-mir-218-2,hsa-mir-22,hsa-mir-221,hsa-mir-222,hsa-mir-223,hsa-mir-224,hsa-mir-2355,hsa-mir-23a,hsa-mir-23b,hsa-mir-24-1,hsa-mir-24-2,hsa-mir-25,hsa-mir-26a-2,hsa-mir-26b,hsa-mir-27a,hsa-mir-27b,hsa-mir-28,hsa-mir-296,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-301a,hsa-mir-3065,hsa-mir-3074,hsa-mir-30a,hsa-mir-30b,hsa-mir-30c-2,hsa-mir-30d,hsa-mir-30e,hsa-mir-3127,hsa-mir-32,hsa-mir-320a,hsa-mir-320b-2,hsa-mir-324,hsa-mir-328,hsa-mir-330,hsa-mir-331,hsa-mir-335,hsa-mir-337,hsa-mir-338,hsa-mir-339,hsa-mir-33a,hsa-mir-340,hsa-mir-342,hsa-mir-345,hsa-mir-34a,hsa-mir-34c,hsa-mir-3607,hsa-mir-361,hsa-mir-3613,hsa-mir-3615,hsa-mir-362,hsa-mir-3647,hsa-mir-365-1,hsa-mir-365-2,hsa-mir-3653,hsa-mir-3677,hsa-mir-370,hsa-mir-374a,hsa-mir-374b,hsa-mir-375,hsa-mir-378,hsa-mir-378c,hsa-mir-379,hsa-mir-381,hsa-mir-382,hsa-mir-3934,hsa-mir-409,hsa-mir-423,hsa-mir-424,hsa-mir-425,hsa-mir-429,hsa-mir-431,hsa-mir-432,hsa-mir-450b,hsa-mir-451,hsa-mir-452,hsa-mir-454,hsa-mir-455,hsa-mir-484,hsa-mir-486,hsa-mir-487b,hsa-mir-497,hsa-mir-500a,hsa-mir-500b,hsa-mir-501,hsa-mir-502,hsa-mir-503,hsa-mir-505,hsa-mir-511-1,hsa-mir-511-2,hsa-mir-532,hsa-mir-542,hsa-mir-574,hsa-mir-576,hsa-mir-582,hsa-mir-584,hsa-mir-589,hsa-mir-590,hsa-mir-598,hsa-mir-625,hsa-mir-628,hsa-mir-629,hsa-mir-652,hsa-mir-654,hsa-mir-660,hsa-mir-664,hsa-mir-671,hsa-mir-7-1,hsa-mir-708,hsa-mir-744,hsa-mir-758,hsa-mir-766,hsa-mir-769,hsa-mir-874,hsa-mir-889,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-92b,hsa-mir-93,hsa-mir-942,hsa-mir-96,hsa-mir-98,hsa-mir-99a,hsa-mir-99b
TCGA.18.5592.01,5998.824696,11667.53008,5913.311862,16781.39639,403.70012,1748.0414079999998,553.844746,20.881041,6035.615100999999,857.117004,811.3775820000001,1065.927412,3527.901545,11.932023,12788.14593,24.858382000000002,68.609134,537.935382,23.864047,27219.928069999998,21398.09505,70.59780400000001,3.9773410000000005,792.485212,479.26960099999997,6.9603470000000005,2947.209746,514.0713360000001,11.932023,72.586475,56.677111,15.909364000000002,19.886705,37.78474,23.864047,2677.7448870000003,91.47884499999999,64.631793,71.59214,197.872719,22.869711,43.750752,20.881041,258.527171,5429.070585,5333.614399,24360.219830000002,77.558151,1319.482906,2.983006,84.518498,1029.1370060000002,74639.77719,220.74242999999998,811.3775820000001,502.139312,3058.575297,578.703128,6.9603470000000005,588.646481,213.782083,199.86139,1219.055043,11.932023,1820.6278829999999,616.487869,258.527171,100.427862,25.852717000000002,46611.45454,37310.44241,113.354221,308.24393399999997,7.954682000000001,17.898035,410.660467,1871.338982,108.382545,210.79907799999998,130.257921,118.325897,22.869711,2287.965461,420.60382000000004,10.937688,1687.386957,3017.80755,4088.706638,121.308903,22.869711,469.326248,1045.0463710000001,695.040355,29387.578960000003,53114.40722,49895.74395,691.063014,61.648787,275311.5501,7680.2456409999995,20.881041,2.983006,36.790405,98659.93435,265.487518,229.691448,99.433527,337.079657,80.541157,4657.466414,3181.87287,60.654452,2038.3873079999998,8448.866806,1301.584871,885.952727,2427.172399,2476.889162,3946.516694,30.824393,3880.8905659999996,557.822088,574.725787,1007.2616300000001,22.869711,242.617806,13.920694000000001,7533.08402,170.03133200000002,483.246942,2867.6629239999997,12197.51078,10.937688,42.756417,407.677462,2.983006,137.218268,102.416533,27.841388000000002,46.733758,137.218268,14.915029,127.274915,208.810407,82.52982800000001,20.881041,344.040004,107.388209,190.912372,14.915029,165.059655,307.24959900000005,22.869711,20.881041,71.59214,31.818728999999998,28.835722999999998,33.807399,29.830058,4.971676,6.9603470000000005,433.530179,28.835722999999998,330.11931,629.414227,7.954682000000001,236.65179500000002,13.920694000000001,6.9603470000000005,12.926359,23.864047,364.921045,99.433527,163.070985,138.212603,5.966012,1.9886709999999999,19.886705,536.941047,222.73110099999997,7.954682000000001,663.221626,131.25225600000002,89.490174,3.9773410000000005,23.864047,516.0600059999999,6.9603470000000005,79.54682199999999,13.920694000000001,10.937688,59.660116,4.971676,4.971676,1289.652848,131.25225600000002,171.025667,33.807399,269.464859,351.994686,84.518498,53.69410500000001,1.9886709999999999,234.663124,46.733758,158.099308,18.89237,8.949017,30.824393,37.78474,38.779076,76.563816,217.759425,91.47884499999999,4.971676,14.915029,67.614798,122.303238,2.983006,1581.987418,1634.687187,1075.870764,28775.06844,218.75376,6946.42621,11.932023,95.456186,93.467516,99.433527,22590.30304
TCGA.18.5595.01,5348.668096,10618.39789,5498.172459,24295.05703,3577.340401,1496.239666,682.935931,16.744489,5235.044779999999,770.246479,590.841243,2713.8032,7215.678582,41.861222,18856.68631,19.136557999999997,77.742269,1777.3078690000002,118.40745600000001,17149.9445,10783.4507,120.799525,8.372244,1021.413809,558.5483009999999,39.469152,8347.127603,267.911819,25.116733,123.19159499999999,70.566059,49.037431,13.156384,8.372244,8.372244,4631.047152,241.59905099999997,229.638702,76.546234,333.693739,17.940524,41.861222,28.704838,437.748775,4269.8446109999995,2864.5035980000002,36221.9171,226.050597,1332.3828839999999,7.176209,63.38985,1313.246326,75301.16159,241.59905099999997,410.239972,330.105634,3823.7235920000003,790.579072,15.548454000000001,258.343539,253.5594,685.328001,3336.937385,60.997780000000006,2370.541182,936.4953310000001,822.872015,175.81713100000002,34.685012,34899.10249,25961.13365,75.350199,706.856629,2.39207,19.136557999999997,697.28835,617.1540110000001,230.83473700000002,593.233313,33.488977,39.469152,14.352419,1797.640462,776.226653,25.116733,1241.4842310000001,2247.349587,2980.518983,108.839176,27.508803000000004,459.277404,2238.977342,1286.933558,14592.821880000001,89516.03644,30192.70514,650.642988,226.050597,185902.0974,24677.7882,16.744489,7.176209,202.129899,84541.72727,149.50436299999998,130.367805,253.5594,821.67598,160.268677,5231.456675,3619.2016229999995,45.449326,3246.038732,10881.52557,1895.715325,1363.479792,1750.9951010000002,2668.353873,6844.907762000001,2.39207,3388.366886,223.658527,241.59905099999997,448.513089,50.233466,65.78192,14.352419,19302.80733,435.356705,600.4095219999999,3962.463641,25675.28131,25.116733,63.38985,580.076929,22.724663,246.38318999999998,81.330374,33.488977,43.057257,149.50436299999998,26.312768,633.8985,150.700398,245.18715600000002,27.508803000000004,159.072642,100.466932,205.718004,23.920698,241.59905099999997,321.733389,39.469152,9.568278999999999,20.332593,94.486758,32.292942,25.116733,57.409675,27.508803000000004,5.980175,908.9865279999999,55.01760600000001,2746.0961420000003,2106.217468,10.764314,312.16511,9.568278999999999,1.196035,5.980175,7.176209,363.594611,119.60349099999999,800.147352,206.914039,2.39207,2.39207,59.801745,557.352266,1228.3278480000001,28.704838,609.977802,130.367805,148.308328,4.78414,21.528628,242.795086,3.588105,44.253291,3.588105,15.548454000000001,121.99556000000001,7.176209,10.764314,827.656154,337.28184300000004,131.56384,94.486758,3779.4703,72.958129,59.801745,63.38985,35.881046999999995,409.04393799999997,106.447107,446.12102000000004,31.096908000000003,11.960349,31.096908000000003,8.372244,8.372244,44.253291,764.266304,206.914039,16.744489,13.156384,80.134339,21.528628,8.372244,11154.221529999999,11266.648809999999,644.6628139999999,25178.92682,259.539574,13231.73416,77.742269,58.605709999999995,68.17399,1057.294856,42161.426439999996
TCGA.21.5782.01,3829.3395960000003,7731.024727,3852.399735,13874.29104,1686.1031239999998,824.739098,552.539023,14.016947,4173.4330469999995,601.372259,697.230093,5541.894056,5406.246178,21.025420999999998,13218.65963,19.895022,55.38955,753.297883,44.08556,43750.73617,12535.22041,22.3819,12.434389,896.406394,1040.871384,18.086384,4975.790245,2670.906718,9.947511,50.415795,37.303166,33.23373,17.182064999999998,17.634224,22.607979999999998,3284.035126,126.60468600000002,69.180418,70.084737,2059.134788,47.476757,176.342241,31.651172,481.549967,2653.046414,5491.704341,38769.06785,24.416618,2888.847642,4.0694360000000005,171.142406,1108.6953230000001,131842.0507,245.0705,222.6886,555.70414,3898.520014,487.428042,14.695186999999999,631.8930320000001,89.753679,278.756389,903.6409470000001,14.243027,1592.506088,1236.882568,926.475007,239.870664,50.641874,22584.69345,20174.00458,80.258328,582.833716,8.591032,76.414971,670.100517,279.88678799999997,173.177124,153.05602199999998,28.259975,33.23373,46.346358,578.5382,610.641531,15.825586,3823.9136810000005,6368.893952,8050.02332,111.68342,18.990703,309.955401,1557.01156,875.380973,15314.41935,25214.9058,20693.53595,468.211259,60.815465,298741.3912,6822.183943999999,94.953515,8.817112,34.816289000000005,78909.98791,172.272805,133.61316000000002,376.422861,147.177948,50.641874,4300.942052,1752.796664,45.442039,2473.539055,7772.623409999999,1569.219869,971.690966,1617.827025,1240.499844,7338.5502,23.738379000000002,4532.899923,448.54231699999997,484.489004,1408.477133,62.624104,25.094857,5.425915,7996.894568000001,442.43816200000003,826.0955769999999,6100.763313,19944.98574,5.199835,25.999177,531.965762,5.651994999999999,110.553021,49.511475,63.754503,88.171121,131.578442,143.786751,288.92998,98.344712,53.580912,41.598683,291.642938,112.135579,201.889258,103.318467,99.92727,349.745445,24.416618,6.5563139999999995,14.921267000000002,14.695186999999999,23.964458,24.190538,14.243027,8.364952,52.450513,651.788054,39.337885,1297.471953,537.617756,5.878075,1986.111014,85.91032299999999,134.743559,5.878075,189.00271,335.728498,131.126282,165.716491,267.678479,160.742735,44.08556,37.303166,127.056846,204.376136,16.503825,478.83700899999997,152.377783,38.433565,19.895022,27.807815,245.52265899999998,4.521596,73.92809399999999,9.721430999999999,22.607979999999998,37.529246,9.269272,8.591032,674.622113,304.755566,124.11780800000001,25.773097,491.949638,27.129576,63.528423,51.094034,10.62575,243.714021,58.328588,189.680949,31.651172,132.030601,30.068613,20.799341000000002,19.216783,28.486054,680.500188,63.30234300000001,91.110158,21.477581,73.702014,45.894199,62.850182999999994,5846.875702,5926.2297100000005,367.15359,17312.512590000002,129.769803,5100.586293,9.495351,35.042367999999996,83.649525,522.24433,31950.049030000002
TCGA.21.5783.01,4114.228785,8111.916612999999,4126.2158549999995,12566.11202,1656.8794460000001,732.5431629999999,1310.25334,12.653018,3687.0229310000004,283.361015,612.3394900000001,4959.650191,10481.360770000001,20.311424,28773.962489999998,21.976295,13.651941,1290.607864,119.870699,25665.64865,10023.188320000001,70.923497,45.617461,694.584109,810.1261440000001,30.633622999999996,1206.698375,1002.585211,8.990302,139.849149,97.894405,52.276944,7.325432000000001,37.959055,17.647631,2070.433359,103.221991,85.57436,137.851304,359.945073,68.925652,35.961209999999994,9.656251,697.91385,1240.66174,1738.125142,67846.48293,15.98276,2057.114393,10.322199000000001,56.938582,750.8567429999999,42330.33967,150.171349,295.681059,326.647656,4676.62215,543.4138379999999,8.324354,228.087303,111.546345,242.738166,301.674594,6.659483,1807.383769,3697.0121560000002,2019.4883120000002,1062.853535,159.827599,23329.834890000002,18526.68255,118.87177700000001,233.081916,7.658405999999999,71.92241999999999,238.07652799999997,310.99787000000003,300.009723,234.080838,46.949357,62.599143000000005,27.303882,1764.097127,355.949383,9.656251,3096.659736,4869.414192,5945.919668,68.925652,12.320044000000001,184.13471299999998,915.013006,731.8772150000001,8541.786259999999,24353.39747,14433.09817,926.667102,30.300649,360657.3043,4635.0003799999995,78.581903,11.321122,88.23815400000001,99706.117,289.687524,80.579748,269.3761,86.240309,163.157341,4830.789189,1912.936579,21.643321,2467.0055899999998,12066.65077,1309.254418,288.355627,1770.756611,2027.146718,3627.7535299999995,13.984914999999999,4943.001482,188.796352,197.120706,1283.282433,32.964442,139.849149,22.975217,9765.466317,287.356705,279.03235,8087.609498999999,7656.407955,5.993535,24.307114000000002,231.75001899999998,4.328664,108.216604,63.93104,35.628236,37.626081,531.4267679999999,27.636855999999998,274.703686,56.938582,52.94289200000001,10.322199000000001,106.884707,42.287719,141.846994,21.976295,28.635778000000002,438.19400099999996,12.653018,8.324354,7.325432000000001,16.315734,31.299571999999998,29.967675,3.6627160000000005,7.658405999999999,8.990302,778.493598,45.950435,2840.9355769999997,437.861027,1.997845,893.369685,102.223069,29.634701,3.329742,31.299571999999998,154.167038,64.596988,93.898715,154.500013,8.990302,6.659483,11.321122,77.91595500000001,140.515098,6.992457000000001,968.6218470000001,54.274789,24.640088000000002,7.658405999999999,30.633622999999996,250.39657200000002,6.326509,63.598066,8.990302,15.316811999999999,93.232766,6.992457000000001,8.990302,1258.975319,266.712306,118.87177700000001,14.317889000000001,472.157366,297.34592999999995,134.521563,38.292029,43.95259,210.106698,5.993535,370.26727200000005,57.271556000000004,42.953666999999996,69.258626,20.977372,19.312502,65.928885,443.854562,137.185356,43.95259,23.308192000000002,123.86638899999998,65.595911,20.644398000000002,2734.05087,2630.8288789999997,739.202647,18389.16422,170.482773,14621.22857,9.989225,28.968752000000002,79.247851,425.540983,44907.55971
TCGA.21.5784.01,5035.557137,10008.79922,5005.512379,23486.09888,2102.8548920000003,623.4287360000001,692.6985950000001,16.969725,4379.301721,765.0285690000001,785.892984,9906.424487,10869.24772,33.104873,11124.349970000001,9.736727,9.736727,339.672685,36.999564,35845.06586,7862.824536,5.00746,52.85651899999999,1267.443695,1172.858344,14.465995000000001,10866.1876,938.6205060000001,5.842036,42.285215,25.315491,23.089953,4.451075,11.127688000000001,6.676613000000001,1313.901793,208.365963,33.104873,83.457662,386.408975,33.661257,84.848623,71.773589,760.299301,688.525712,9376.468333,41864.86702,104.043885,3343.5921350000003,8.623958,209.20054,1348.675819,212775.5876,204.19308,238.410721,2018.284461,2322.904928,209.75692400000003,13.90961,517.159313,129.359376,122.40457099999999,601.451551,10.014919,426.190461,1461.0654710000001,808.982938,281.252321,48.961828000000004,12086.61681,6218.986785,70.660821,365.822752,6.676613000000001,20.308031,673.781525,290.710856,171.644592,57.30759499999999,30.322951,39.503293,58.976748,475.986866,284.86882,16.413339999999998,3581.724664,6122.7322810000005,7900.102290999999,43.954369,9.180342999999999,163.85521,679.0671769999999,564.73018,4111.9590100000005,19716.59447,21706.225140000002,130.47214499999998,9.180342999999999,211692.02899999998,2808.072136,56.75121,26.150067,94.307158,119439.5985,309.07154199999997,177.486628,821.779779,132.141298,62.871439,3132.44425,1555.372629,56.473018,1919.248035,5939.403617,2037.201531,1035.987778,1480.260733,2095.0655100000004,5076.173199,9.736727,6102.42425,487.94913099999997,521.8885799999999,1964.315173,24.759106,104.043885,8.902151,27801.1382,480.437941,743.8859610000001,4465.8194969999995,16420.295009999998,3.8946910000000003,25.871875,595.053131,5.842036,60.645901,56.194826,44.788945,42.007023,147.998254,55.638441,1060.746885,79.006587,62.036862,19.195262,235.906991,35.886795,205.305849,253.154908,89.57789100000001,343.56737599999997,25.871875,1.6691529999999999,19.473454,15.856956,15.300571,14.187803,14.465995000000001,5.5638440000000005,8.902151,640.954845,55.638441,5892.389134,264.560789,1.6691529999999999,551.376954,23.646338,21.142608,2.50373,29.488374,275.132093,93.194389,179.433973,117.11891899999999,8.623958,10.014919,13.353226000000001,549.707801,169.697246,10.293111999999999,441.769225,107.104,144.65994799999999,2.50373,41.728831,287.650742,6.676613000000001,82.344893,10.849496,9.458535000000001,46.736290999999994,23.089953,20.586223,872.132569,144.93814,104.322078,16.969725,491.009245,28.931990000000003,55.638441,31.713912,35.608602000000005,328.266804,38.668717,104.87846200000001,37.834140000000005,18.082493,43.954369,31.713912,11.684073,16.969725,359.424331,37.834140000000005,20.029839000000003,10.293111999999999,25.315491,35.052217999999996,6.120229,918.034283,927.4928179999999,241.470836,5657.3167189999995,128.802992,2393.2875559999998,8.623958,18.082493,55.360248999999996,639.285691,40942.381669999995
TCGA.21.5786.01,4015.422861,7841.828348,3954.4109240000003,8205.507344,829.642709,464.76740099999995,846.391084,7.776031,5395.3693140000005,670.533149,759.060273,5077.150192,5235.661597,25.720717999999998,20778.15342,33.49675,23.328093,1028.8287380000002,63.404562,37670.08573,11449.906809999999,17.346531,139.370405,1129.3189869999999,886.467552,8.972344,2634.878251,1799.2539800000002,8.972344,91.517905,59.815624,30.505968,25.122562,31.702281,20.935469,3219.875057,223.71043500000002,125.014655,66.993499,934.918208,29.907812,142.959342,14.35575,500.656776,2756.303969,7087.553326,30882.806839999997,11.364969,1995.449227,12.561281,274.553716,719.581961,180302.2364,240.45881,93.312374,945.0868640000001,3664.903302,573.033681,9.5705,700.440961,100.490249,147.74459199999998,481.51577599999996,9.5705,1125.73005,1253.735486,842.8021470000001,217.130716,96.90131099999999,16333.852530000002,12539.74748,59.815624,592.174681,6.579719,28.113343,550.303744,724.965367,239.860654,84.938187,61.011936999999996,71.180593,36.487531,1251.941017,474.936057,10.168656,3456.744929,5831.425215,7414.744791,84.34003,13.757594000000001,382.221839,545.518494,367.86609,14076.41087,28405.24368,45369.55289,357.697433,50.245124,243855.7391,6734.641142,69.386124,64.600874,105.275499,87293.12766,130.398061,103.48103,422.298308,53.23590600000001,74.171374,3454.352304,1606.647669,44.861717999999996,1675.4356369999998,12481.72633,1895.5571350000002,1008.4914259999999,1601.264263,2127.0436010000003,5967.206682,17.346531,5827.238121,557.481619,595.165462,1622.797888,58.619312,28.7115,5.383406,8545.858247,228.495685,415.718589,3028.465059,15440.80526,17.346531,26.917031,287.114997,3.588937,112.453374,128.005436,30.505968,64.002718,546.11665,138.772248,321.209903,80.75109300000001,65.199031,30.505968,308.648621,52.637749,116.64046699999999,30.505968,118.43493600000001,347.528777,23.92625,2.990781,34.094906,29.309656,39.478312,45.459874,15.552062,3.588937,42.469093,608.3248990000001,46.656187,1367.385172,375.642121,5.981562,1280.652517,78.956624,53.834062,1.7944689999999999,114.24784199999999,240.45881,251.82377799999998,138.772248,104.67734300000001,64.600874,24.524406,58.021156000000005,105.275499,62.806406,18.542844,565.25765,100.490249,47.852499,10.168656,27.515187,395.381277,8.374187,101.08840500000001,12.561281,46.656187,100.490249,7.177875,6.579719,1067.7088939999999,348.126934,104.67734300000001,33.49675,202.17681000000002,241.65512200000003,53.23590600000001,61.610093000000006,22.131781,641.821649,37.683842999999996,166.885592,33.49675,69.386124,44.263562,25.720717999999998,12.561281,38.282,361.286371,78.358468,73.57321800000001,25.720717999999998,77.162155,55.030374,33.49675,3318.570837,3357.450993,476.730526,14733.784580000001,41.272781,7760.479098999999,14.953906,18.542844,41.870937,314.03202799999997,46276.35776
TCGA.21.5787.01,4258.855065,8660.77836,4345.8405490000005,7951.1599400000005,371.977398,1390.623194,302.160101,35.480921,7132.809665000001,776.002078,758.833891,4235.964148,6699.026793,13.73455,15724.915280000001,16.023642000000002,51.504563,1285.324977,92.708213,11134.14192,65799.94026,14.879095999999999,10.300913000000001,407.458319,481.85379800000004,3.4336379999999997,6331.627579,515.045627,3.4336379999999997,60.660929,57.227292000000006,57.227292000000006,6.867275,44.637288,13.73455,7840.138994,268.968272,56.08274599999999,74.39548,234.631897,170.53733,33.191829,37.770013,676.426591,2566.07177,11686.957559999999,25593.18949,61.805475,721.063878,1.1445459999999998,297.58191800000003,1201.77313,80703.07162,366.25466800000004,78.973663,1097.619459,3039.913747,194.572793,11.445458,1833.5624329999998,109.8764,247.22190099999997,885.8784789999999,5.722729,1973.197026,1153.702205,344.508297,233.487351,29.758191999999998,38328.55104,25973.17871,91.56366700000001,1493.632319,4.578183,44.637288,1271.5904269999999,381.133764,606.6092940000001,423.48195999999996,27.4691,38.914559000000004,27.4691,2485.953561,824.073004,24.035463,1355.142273,2421.858994,3408.457507,97.286396,10.300913000000001,450.95106,904.191212,599.742019,11377.93018,79306.7257,488.72107300000005,528.780177,139.634592,269831.2596,3433.637515,18.312732999999998,5.722729,25.180007999999997,88284.54325,130.478226,125.900042,290.714643,69.817296,60.660929,6633.787679999999,1389.478648,29.758191999999998,4524.3897,8727.162018,1373.4550060000001,1070.150359,2348.608061,1291.047706,4056.270452,45.781834,7678.75803,920.214854,885.8784789999999,1119.3658300000002,48.070925,80.118209,29.758191999999998,11126.1301,272.40191,504.74471500000004,3265.3892769999998,16528.38645,33.191829,74.39548,605.464749,6.867275,127.04458799999999,52.649108999999996,214.03007200000002,72.106388,481.85379800000004,6.867275,8415.84555,74.39548,44.637288,19.457279,397.157406,62.950021,130.478226,65.239113,156.80278,322.76192599999996,26.324554,1.1445459999999998,14.879095999999999,45.781834,128.189134,119.03276699999999,16.023642000000002,30.902738,4.578183,603.175657,43.492742,2235.298023,353.664664,9.156367,254.08917599999998,10.300913000000001,5.722729,3.4336379999999997,21.746371,355.953756,114.45458400000001,587.152015,104.153671,9.156367,1.1445459999999998,4.578183,322.76192599999996,69.817296,35.480921,262.100997,416.614685,69.817296,2.2890919999999997,12.590003999999999,164.814601,3.4336379999999997,66.383659,8.011821000000001,13.73455,73.250934,10.300913000000001,8.011821000000001,756.544799,70.961842,72.106388,34.336375,8022.121781999999,76.68457099999999,143.06823,89.274575,14.879095999999999,252.94463,46.926379,140.779138,34.336375,1.1445459999999998,57.227292000000006,30.902738,19.457279,67.528204,109.8764,120.17731299999998,5.722729,41.20365,86.985484,34.336375,3.4336379999999997,671.8484070000001,742.810249,872.143929,21575.8336,224.33098399999997,9725.20599,20.601825,67.528204,90.41912099999999,133.91186299999998,21872.270969999998
TCGA.21.A5DI.01,4928.943949,9710.772056,4951.473175,17202.19011,1283.264683,504.204066,817.585592,12.616366000000001,4351.745193,425.12648499999995,795.056367,3438.1851,6252.310654,45.509035,23306.70905,13.742828,7.4346440000000005,815.557962,47.536666,24285.3786,13226.68298,25.00744,11.489905,715.7534929999999,794.38049,13.066951,2297.530414,926.8523359999999,2.478215,64.20829300000001,52.042511,26.584486,8.786398,10.138150999999999,4.055261,1502.699339,148.242304,56.773648,100.480346,355.285886,55.196602,53.844848999999996,21.177472,850.2529689999999,3211.541091,2136.221159,61853.98854,82.68225699999999,2909.874762,3.154092,246.469727,826.37199,16329.8585,68.038261,405.751351,1445.0245220000002,1631.791801,366.775791,15.770457999999998,435.715221,164.688638,299.863991,508.03403399999996,18.248673,829.526082,2387.422024,660.331599,470.410228,67.13709200000001,34162.416339999996,16094.2028,72.769398,234.754529,2.928799,31.090331,367.451667,180.68438799999998,197.35601499999999,171.89799,39.200852000000005,43.256113,33.343253999999995,93.72157800000001,423.324147,7.209352,1978.967166,3268.31474,4316.374309000001,44.607865999999994,7.209352,191.498417,1240.684447,988.1318289999999,20244.9873,12049.75625,26282.36915,415.889502,10.814028,433889.4522,1660.62921,59.477155,12.165782,65.109462,92207.61402000001,530.3379679999999,198.70776899999998,507.13286500000004,138.104152,96.199793,3448.999128,1297.458095,42.354944,2766.138304,10988.17914,2207.6388039999997,1037.696125,3246.911975,3097.993795,6551.273475999999,2.703507,9425.552062,397.866122,407.778981,1415.285944,15.99575,7.659936999999999,2.478215,11495.76259,422.422978,850.478262,3454.18085,10169.69238,2.02763,28.386824,975.0648789999999,12.841659,91.243363,26.809778,26.359194,33.568546000000005,109.71732800000001,45.95962,319.689709,59.026571,29.513284999999996,13.96812,268.323075,22.754518,175.502666,63.307124,9.462275,391.55793900000003,16.896919,12.165782,9.01169,6.082891,25.00744,27.260363,8.561106,0.901169,11.03932,800.913966,67.587676,136.752399,365.424037,2.02763,916.7141849999999,58.125402,24.331564,2.928799,42.129652,177.079712,158.380455,180.68438799999998,284.76941,14.193412,9.462275,15.99575,783.115877,166.490976,8.561106,411.834242,58.801278,149.819349,7.885228999999999,20.051011,149.143473,5.407014,25.908609,5.181722,12.165782,49.789588,11.264613,10.138150999999999,392.233816,184.739649,168.29331399999998,18.699257,127.966001,55.196602,42.354944,33.568546000000005,25.232733,275.532428,4.731137,100.255053,18.248673,36.046761,29.96387,29.513284999999996,11.940489999999999,28.837409,439.545189,50.465465,22.97981,7.885228999999999,37.849099,24.556856,17.122211,398.54199900000003,386.826801,421.296516,11890.92521,73.445275,9659.630714,5.632306,49.113712,51.817219,292.65463900000003,18537.49731
